,Guest_country,Room_info,Nights_stayed,Date of stay,Travel_type,Positive_reviews,Negative_reviews,Grade,Title
1978,United Kingdom,Standard Room,1 night ,March 2020,Group,,,10,Exceptional
1979,United Kingdom,Standard Room,3 nights ,March 2020,Family,,,9.0,Stacey on reception was excellent. We was due to visit to go to C2C and she found us other things
1980,United Kingdom,Premium Room,1 night ,March 2020,Couple,,,10,Exceptional
1981,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
1982,United Kingdom,Standard Room,1 night ,March 2020,Group,,,10,Exceptional
1983,United Kingdom,Premium Room,1 night ,March 2020,Couple,,,10,Exceptional
1984,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
1985,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
1986,United Kingdom,Premium Room,1 night ,March 2020,Couple,,,10,Exceptional
1987,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,8.0,Very Good
1988,United Kingdom,Premium Room,1 night ,March 2020,Couple,,,10,Exceptional
1989,United Kingdom,Standard Room,1 night ,February 2020,Couple,,,8.8,Excellent
1990,United Kingdom,Premium Room,1 night ,February 2020,Couple,,,10,Exceptional
1991,Iceland,Standard Room,3 nights ,March 2020,Family,,,8.0,Very Good
1992,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
1993,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,8.0,Very Good
1994,United Kingdom,Superior Room,1 night ,March 2020,Couple,,,8.0,Very Good
1995,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,9.6,Exceptional
1996,United Kingdom,Standard Room,1 night ,March 2020,Group,,,10,Exceptional
1997,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
1998,United Kingdom,Standard Room,1 night ,March 2020,Group,,,10,Exceptional
1999,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
2000,United Kingdom,Standard Room,2 nights ,March 2020,Couple,,,8.8,Excellent
2001,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
2002,United Kingdom,Standard Room,1 night ,March 2020,Group,,,10,Exceptional
2003,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,10,Exceptional
2004,United Kingdom,Premium Room,2 nights ,March 2020,Couple,,,10,Exceptional
2005,United Kingdom,Standard Room,1 night ,March 2020,Group,,,9.0,Wonderful
2006,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,9.0,Great over night
2007,United Kingdom,Standard Room,1 night ,February 2020,Couple,,,10,Exceptional
2008,United Kingdom,Standard Room,1 night ,February 2020,Couple,,,10,Exceptional
2009,United Kingdom,Premium Room,1 night ,February 2020,Couple,,,10,Exceptional
2010,United Kingdom,Corner Suite,1 night ,March 2020,Couple,,,10,Exceptional
2011,United Kingdom,Standard Room,1 night ,March 2020,Couple,,,9.0,Wonderful
